EpochTime,DeviceType,GPSMode,ReceiverType,latitude,longitude,speed,course,altitude,seperation,terrainElev,ehspe,espe,evpe,LowestGForce,LowestGForceXAccelleration,LowestGForceYAccelleration,LowestGForceZAccelleration,HighestGForce,HighestGForceXAccelleration,HighestGForceYAccelleration,HighestGForceZAccelleration,pitch,pitchrate,roll,rollrate,yaw,yawrate,platformid,WasActiveSource,FlightType,FlightModeStatus
1736274000,7,3,0,42.772499,-1.647900,74.144058,337.593994,1827.034424,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998625,-0.001000,-0.847000,-0.529000,1.001596,-0.001000,-0.848000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274001,5,3,5,51.526276,-0.097838,0.000000,0.000000,81.922958,-150.000000,1.000000,3.233339,0.000000,30.000000,0.998625,-0.001000,-0.847000,-0.529000,1.001381,-0.001000,-0.849000,-0.531000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,2,1,1
1736274001,7,3,0,42.772800,-1.648000,74.140175,337.739990,1840.656860,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999473,-0.001000,-0.848000,-0.529000,1.001064,-0.001000,-0.848000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274002,7,3,0,42.773102,-1.648200,74.085747,337.779999,1854.607910,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999156,-0.002000,-0.847000,-0.530000,1.002130,-0.002000,-0.848000,-0.534000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274003,7,3,0,42.773499,-1.648400,73.982719,337.806000,1868.866821,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999155,-0.001000,-0.847000,-0.530000,1.001065,-0.002000,-0.848000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274004,7,3,0,42.773800,-1.648600,73.848595,337.873993,1883.374023,0.000000,1400.000000,0.000000,0.000000,0.000000,0.999156,-0.002000,-0.847000,-0.530000,1.001911,-0.001000,-0.849000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274005,7,3,0,42.774101,-1.648800,73.698921,337.980011,1898.049927,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998840,-0.002000,-0.846000,-0.531000,1.001911,-0.001000,-0.849000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274006,7,3,0,42.774399,-1.649000,73.549248,338.089996,1912.808350,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998626,-0.002000,-0.847000,-0.529000,1.000749,-0.001000,-0.847000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274007,7,3,0,42.774700,-1.649200,73.411232,338.157013,1927.562012,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998625,-0.001000,-0.847000,-0.529000,1.000751,-0.002000,-0.847000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274008,7,3,0,42.775002,-1.649400,73.292656,338.246002,1942.225098,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998095,0.000000,-0.847000,-0.528000,1.001597,-0.002000,-0.848000,-0.533000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274009,7,3,0,42.775299,-1.649600,73.212959,338.382996,1956.722412,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998095,0.000000,-0.847000,-0.528000,1.001065,-0.002000,-0.848000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274010,7,3,0,42.775600,-1.649800,73.176025,338.541992,1970.999390,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998095,-0.001000,-0.847000,-0.528000,1.002132,-0.003000,-0.848000,-0.534000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
1736274011,7,3,0,42.775902,-1.650000,73.189636,338.673004,1985.032837,0.000000,1400.000000,0.000000,0.000000,0.000000,0.998095,-0.001000,-0.847000,-0.528000,1.001065,-0.002000,-0.848000,-0.532000,999.000000,-5725825688034211243127463739392.000000,999.000000,0.000000,999.000000,0.000000,14,1,3,1
